Hand_ID,Session_ID,Game_start,Game_duration,Hole_Card,Hand_Value,Winner,Pot,WinLoss,Leaderboard_points,Insurance
SG1034,1034,"August 28, 2021, 12:00:00 AM",00:40,AH/6S,Pair of As,Julie Stanton,0.12,0.34,0.31,0.75
SG1035,1035,"May 07, 2022, 12:00:00 AM",22:30,6D/8H,Pair of As,Alisha Horton,0.44,0.4,0.42,0.77
SG1036,1036,"February 04, 2022, 12:00:00 AM",19:40,8H/KC,8 High,Nicholas Carney,0.13,0.58,0.52,0.92
SG1037,1037,"September 04, 2021, 12:00:00 AM",14:10,7S/4H,A High,John Williams,0.34,0.62,0.44,0.71
SG1038,1038,"March 10, 2022, 12:00:00 AM",08:20,6H/2D,10 High,Adam Grant,0.39,0.49,0.26,0.01
SG1039,1039,"March 31, 2022, 12:00:00 AM",09:55,9C/10D,10 High,David Mitchell,0.84,0.21,0.41,0.02
SG1040,1040,"June 01, 2022, 12:00:00 AM",18:35,6S/7S,10 High,James Barrera,0.69,0.14,0.65,0.63
SG1041,1041,"June 19, 2021, 12:00:00 AM",13:00,2S/10H,8 High,Eric Mckay,0.16,0.31,0.32,0.54
SG1042,1042,"July 17, 2021, 12:00:00 AM",19:35,7H/10D,Pair of As,Lisa Knox PhD,0.25,0.42,0.58,0.1
SG1043,1043,"February 06, 2022, 12:00:00 AM",05:25,3H/AS,Pair of As,Natalie Clark,0.12,0.03,0.48,0.44
SG1044,1044,"January 18, 2022, 12:00:00 AM",22:25,4C/5H,10 High,Emily Hanson,0.42,0.84,0.51,0.46
SG1045,1045,"November 13, 2021, 12:00:00 AM",11:35,JD/9S,Pair of As,Robert Lewis,0.04,0.42,0.24,0.61
SG1046,1046,"March 14, 2022, 12:00:00 AM",18:55,3C/10H,Pair of As,Michael Lynn,0.75,0.77,0.33,0.95
SG1047,1047,"December 31, 2021, 12:00:00 AM",02:55,8C/10H,Pair of 2s,Corey Vincent,0.33,0.61,0.34,0.6
SG1048,1048,"December 23, 2021, 12:00:00 AM",07:55,5H/7S,Pair of As,Kara Miller,0.32,0.03,0.01,0.12
SG1049,1049,"July 29, 2021, 12:00:00 AM",05:10,2C/7S,A High,Megan King,0.16,0.82,0.31,0.61
SG1050,1050,"December 06, 2021, 12:00:00 AM",22:50,AH/JC,10 High,Seth Jenkins,0.16,0.63,0.55,0.22
SG1051,1051,"September 24, 2021, 12:00:00 AM",19:50,3D/2C,Pair of 2s,David Phillips,0.78,0.63,0.25,0.29
SG1052,1052,"January 07, 2022, 12:00:00 AM",04:55,KS/8D,A High,Mr. Robert Glover Jr.,0.97,0.44,0.45,0.92
SG1053,1053,"July 05, 2021, 12:00:00 AM",14:10,KC/3H,8 High,Ian Wheeler,0.91,0.0,0.28,0.88
SG1054,1054,"July 30, 2021, 12:00:00 AM",14:05,QH/5H,8 High,Donna Meyer,0.52,0.44,0.2,0.05
SG1055,1055,"April 16, 2022, 12:00:00 AM",04:55,2C/2H,Pair of 2s,Matthew Price,0.53,0.38,0.96,0.9
SG1056,1056,"February 24, 2022, 12:00:00 AM",21:40,9D/10S,Pair of 2s,Alexander Thompson,0.17,0.64,0.24,0.89
SG1057,1057,"April 25, 2022, 12:00:00 AM",17:45,6C/JC,Pair of 2s,Terry Brown,0.98,0.92,0.95,0.24
SG1058,1058,"March 22, 2022, 12:00:00 AM",13:40,AC/2H,8 High,Ryan Lee,0.2,0.2,0.86,0.69
SG1059,1059,"December 04, 2021, 12:00:00 AM",12:20,9C/4C,10 High,Oscar Jennings,0.19,0.98,0.82,0.46
SG1060,1060,"August 06, 2021, 12:00:00 AM",15:45,4D/KD,10 High,Jeffrey Griffith,0.65,0.19,0.64,0.94
SG1061,1061,"August 02, 2021, 12:00:00 AM",23:30,9C/5S,Pair of As,William Welch,0.26,0.11,0.21,0.09
SG1062,1062,"March 23, 2022, 12:00:00 AM",18:20,6C/5C,Pair of As,Jason Ellis,0.9,0.68,0.66,0.68
SG1063,1063,"November 06, 2021, 12:00:00 AM",14:10,4S/KH,Pair of 2s,Edward Scott,0.35,0.24,0.39,0.52
SG1064,1064,"October 13, 2021, 12:00:00 AM",19:10,5H/6S,10 High,Jose Goodman,0.6,0.03,0.04,0.68
SG1065,1065,"June 30, 2021, 12:00:00 AM",11:30,5H/AH,Pair of 2s,Nicole Farley,0.19,0.53,0.33,0.96
SG1066,1066,"September 08, 2021, 12:00:00 AM",11:55,2H/6H,Pair of 2s,Mr. Jonathon Taylor MD,0.22,0.45,0.3,1.0
SG1067,1067,"April 11, 2022, 12:00:00 AM",09:15,7D/AD,10 High,John Price,0.29,0.17,0.62,0.25
SG1068,1068,"October 13, 2021, 12:00:00 AM",22:35,4S/4D,Pair of As,Aaron King,0.63,0.22,0.41,0.47
SG1069,1069,"March 30, 2022, 12:00:00 AM",13:05,4D/5C,A High,Ryan Lewis,0.14,0.8,0.49,0.96
SG1070,1070,"December 06, 2021, 12:00:00 AM",17:15,4S/AH,Pair of As,Betty Mitchell,0.53,0.93,0.4,0.26
SG1071,1071,"May 02, 2022, 12:00:00 AM",09:40,5H/2C,10 High,Brian Alvarado,0.64,0.22,0.32,0.58
SG1072,1072,"October 24, 2021, 12:00:00 AM",20:25,9D/2H,A High,Angie Bradley,0.14,0.25,0.59,0.16
SG1073,1073,"August 31, 2021, 12:00:00 AM",10:15,8S/7D,A High,John Fisher,0.31,0.75,0.14,0.83
SG1074,1074,"March 03, 2022, 12:00:00 AM",05:00,QH/KC,8 High,William Welch,0.96,0.62,0.49,0.32
SG1075,1075,"May 02, 2022, 12:00:00 AM",15:40,9C/KS,Pair of 2s,William Bryant,0.37,0.88,0.63,0.82
SG1076,1076,"September 24, 2021, 12:00:00 AM",02:35,4C/6S,8 High,Dawn Mitchell,0.15,0.13,0.4,0.73
SG1077,1077,"September 13, 2021, 12:00:00 AM",15:10,2C/AC,Pair of As,Dorothy Ruiz,0.74,0.31,0.97,0.8
SG1078,1078,"July 10, 2021, 12:00:00 AM",16:00,10D/6S,8 High,Dustin Odonnell,0.45,0.6,0.06,0.47
SG1079,1079,"February 17, 2022, 12:00:00 AM",21:55,JH/9D,8 High,Jessica Saunders,0.49,0.44,0.86,0.93
SG1080,1080,"April 03, 2022, 12:00:00 AM",03:40,KC/QC,Pair of As,Brenda Ward,0.14,0.22,0.71,0.84
SG1081,1081,"March 30, 2022, 12:00:00 AM",04:25,3S/JS,Pair of As,Paul Burke,0.18,0.2,0.94,0.72
SG1082,1082,"April 19, 2022, 12:00:00 AM",13:30,2H/6S,Pair of 2s,Joel Gardner,0.82,0.71,0.89,0.97
SG1083,1083,"July 15, 2021, 12:00:00 AM",16:10,6H/9D,Pair of As,Lisa Sutton,0.67,0.07,0.51,0.34
SG1084,1084,"February 26, 2022, 12:00:00 AM",22:20,5D/4C,10 High,Julie Peters,0.53,0.77,0.61,0.97
SG1085,1085,"May 28, 2022, 12:00:00 AM",06:25,4H/AH,Pair of As,James Wallace,0.03,0.1,0.67,0.25
SG1086,1086,"May 07, 2022, 12:00:00 AM",03:45,JC/10C,Pair of 2s,Clifford Griffin,0.81,0.08,0.24,0.23
SG1087,1087,"February 04, 2022, 12:00:00 AM",22:05,KS/6D,A High,Andrew Thomas,0.78,0.62,0.69,0.03
SG1088,1088,"November 14, 2021, 12:00:00 AM",00:05,3C/7H,Pair of As,Miguel Bryan,0.7,0.93,0.13,0.65
SG1089,1089,"August 09, 2021, 12:00:00 AM",12:30,5C/AC,A High,Gregory Johnson,0.94,0.32,0.43,0.22
SG1090,1090,"February 16, 2022, 12:00:00 AM",19:40,5S/KH,Pair of 2s,James Padilla,0.79,0.68,0.45,0.76
SG1091,1091,"June 17, 2021, 12:00:00 AM",11:50,7D/9D,A High,David Johnson,0.35,0.77,0.96,0.43
SG1092,1092,"May 02, 2022, 12:00:00 AM",09:10,7H/JS,Pair of As,Alexander Bailey,0.84,0.07,0.77,0.02
SG1093,1093,"October 13, 2021, 12:00:00 AM",04:55,KS/7S,Pair of 2s,Jose Robbins,0.02,0.44,0.75,0.77
SG1094,1094,"May 19, 2022, 12:00:00 AM",05:50,5H/3D,A High,Cheryl Green,0.97,0.82,0.95,0.46
SG1095,1095,"September 21, 2021, 12:00:00 AM",07:15,9H/8H,Pair of As,Erin Newton,0.45,0.2,0.16,0.87
SG1096,1096,"December 23, 2021, 12:00:00 AM",06:00,QD/7D,A High,Karen Fields,0.02,0.89,0.49,0.07
SG1097,1097,"May 05, 2022, 12:00:00 AM",11:50,QC/10C,8 High,Jennifer Swanson,0.63,0.85,0.7,0.09
SG1098,1098,"January 31, 2022, 12:00:00 AM",19:55,9S/3D,Pair of 2s,Christina Yates,0.47,0.16,0.25,0.84
SG1099,1099,"March 12, 2022, 12:00:00 AM",16:50,7C/5C,Pair of 2s,Megan Miller,0.99,0.39,0.41,0.39
SG1100,1100,"November 09, 2021, 12:00:00 AM",02:10,JH/4C,A High,Ashley Raymond,0.4,0.44,0.48,0.48
SG1101,1101,"October 16, 2021, 12:00:00 AM",00:25,5S/4H,8 High,Dawn Riddle,0.07,0.27,0.5,0.09
SG1102,1102,"March 06, 2022, 12:00:00 AM",01:00,QS/8D,10 High,Lauren Hawkins,0.5,0.16,0.49,0.29
SG1103,1103,"March 31, 2022, 12:00:00 AM",09:00,AD/7C,Pair of 2s,Felicia Stephens,0.02,0.23,0.67,0.3
SG1104,1104,"August 12, 2021, 12:00:00 AM",12:50,JS/10H,A High,Julie Flores,0.08,0.49,0.79,0.94
SG1105,1105,"August 28, 2021, 12:00:00 AM",09:45,7C/8C,Pair of 2s,John Gonzalez,0.94,0.33,0.94,0.59
SG1106,1106,"November 28, 2021, 12:00:00 AM",08:45,KD/10S,A High,George Fisher,0.35,0.08,0.22,0.4
SG1107,1107,"June 16, 2021, 12:00:00 AM",22:20,QC/8H,8 High,Teresa Watkins,0.05,0.13,0.2,0.38
SG1108,1108,"August 12, 2021, 12:00:00 AM",17:30,AC/5S,Pair of As,Jessica Mclean,0.7,0.16,0.99,0.85
SG1109,1109,"May 14, 2022, 12:00:00 AM",08:55,4D/8H,10 High,Melissa Hernandez,0.2,0.19,0.02,0.71
SG1110,1110,"March 29, 2022, 12:00:00 AM",23:45,5S/KH,8 High,Todd Gilbert,0.12,0.1,0.95,0.68
SG1111,1111,"February 25, 2022, 12:00:00 AM",11:35,8D/8D,Pair of As,Bryan Gross,0.35,0.46,0.01,0.52
SG1112,1112,"December 24, 2021, 12:00:00 AM",20:55,2H/KC,A High,Randy Riley,0.2,0.9,0.4,0.93
SG1113,1113,"March 10, 2022, 12:00:00 AM",08:25,10C/5H,A High,Charlotte Green,0.16,0.82,0.69,0.39
SG1114,1114,"August 07, 2021, 12:00:00 AM",16:35,7C/QC,Pair of As,Sandra Dean,0.04,0.41,0.06,0.67
SG1115,1115,"March 09, 2022, 12:00:00 AM",18:20,QH/10D,A High,Calvin Thompson,0.67,0.21,0.21,0.5
SG1116,1116,"March 07, 2022, 12:00:00 AM",10:35,4S/6H,Pair of As,Stephanie Schwartz,0.0,0.21,0.21,0.59
SG1117,1117,"April 09, 2022, 12:00:00 AM",06:40,7C/QC,A High,Lindsey Adams,0.21,0.09,0.33,0.03
SG1118,1118,"March 29, 2022, 12:00:00 AM",15:00,9H/7S,10 High,Carlos Gentry,0.99,0.68,0.56,0.97
SG1119,1119,"March 13, 2022, 12:00:00 AM",15:50,QD/5C,A High,Christopher Ayala,0.43,0.12,0.43,0.04
SG1120,1120,"October 25, 2021, 12:00:00 AM",03:50,QC/KC,A High,Abigail West,0.82,0.31,0.38,0.61
SG1121,1121,"August 02, 2021, 12:00:00 AM",16:50,3D/5D,Pair of As,Christy Lee,0.07,0.28,0.0,0.12
SG1122,1122,"December 14, 2021, 12:00:00 AM",14:15,KH/2S,Pair of As,Joanne Jones,0.0,0.58,0.74,0.68
SG1123,1123,"February 24, 2022, 12:00:00 AM",21:20,AS/5S,Pair of As,Scott Hernandez,0.21,0.08,0.23,0.0
SG1124,1124,"May 19, 2022, 12:00:00 AM",19:05,4D/10H,Pair of As,Matthew Davis DDS,0.4,0.09,0.68,0.2
SG1125,1125,"September 13, 2021, 12:00:00 AM",04:10,AD/QS,Pair of As,Kimberly Brown,0.48,0.16,0.21,0.49
SG1126,1126,"July 21, 2021, 12:00:00 AM",07:35,KC/7D,Pair of As,Sean Miles,0.45,0.52,0.96,0.47
SG1127,1127,"August 26, 2021, 12:00:00 AM",09:55,9D/8S,Pair of 2s,Terry Ellis,0.31,0.24,0.06,0.9
SG1128,1128,"April 10, 2022, 12:00:00 AM",01:25,8C/10H,10 High,Alexandria Alvarez,0.75,0.84,0.28,0.37
SG1129,1129,"February 14, 2022, 12:00:00 AM",00:35,4S/7D,8 High,Mary Anthony,0.99,0.96,0.64,0.88
SG1130,1130,"August 25, 2021, 12:00:00 AM",00:00,JH/7D,A High,Dr. Amber Mejia MD,0.11,0.52,0.15,0.77
SG1131,1131,"August 24, 2021, 12:00:00 AM",15:20,KD/10C,Pair of 2s,Richard Anderson,0.36,0.98,0.63,0.43
SG1132,1132,"January 26, 2022, 12:00:00 AM",09:00,6D/5S,A High,Jason Greene,0.49,0.58,0.92,0.65
SG1133,1133,"October 26, 2021, 12:00:00 AM",23:20,5H/9H,Pair of As,Alex Buchanan,0.6,0.63,0.98,0.21
SG1134,1134,"January 14, 2022, 12:00:00 AM",00:00,8C/9D,8 High,Justin Weaver,0.69,0.32,0.01,0.47
SG1135,1135,"January 14, 2022, 12:00:00 AM",06:45,QH/KD,Pair of 2s,Edward Reese,0.92,0.06,0.83,0.68
SG1136,1136,"November 23, 2021, 12:00:00 AM",04:05,KS/4C,Pair of As,Regina Wright,0.92,0.86,0.17,0.75
SG1137,1137,"May 28, 2022, 12:00:00 AM",16:50,7H/10C,Pair of 2s,Peter Hill,0.27,0.36,0.45,0.43
SG1138,1138,"February 28, 2022, 12:00:00 AM",05:45,8C/JH,A High,William Lopez,0.97,0.78,0.86,0.56
SG1139,1139,"February 03, 2022, 12:00:00 AM",18:15,JC/QD,A High,Robert Mcbride,0.36,0.35,0.75,0.26
SG1140,1140,"April 14, 2022, 12:00:00 AM",15:30,6C/6C,Pair of 2s,Brianna Brooks,0.98,0.12,0.99,0.94
SG1141,1141,"March 18, 2022, 12:00:00 AM",09:10,2S/8H,Pair of 2s,Charles Jackson,0.6,0.84,0.32,0.09
SG1142,1142,"January 12, 2022, 12:00:00 AM",20:55,3H/9D,10 High,David Rivera,0.19,0.99,0.29,0.48
SG1143,1143,"January 11, 2022, 12:00:00 AM",07:05,4S/7D,10 High,John Hines,0.4,0.28,0.93,0.03
SG1144,1144,"March 24, 2022, 12:00:00 AM",14:10,AH/3D,8 High,Beverly Bryant,0.33,0.13,0.52,0.82
SG1145,1145,"May 04, 2022, 12:00:00 AM",15:00,7D/QC,10 High,Corey Mendoza,0.59,0.69,0.45,0.29
SG1146,1146,"March 25, 2022, 12:00:00 AM",20:10,3C/7C,8 High,Cole Padilla,0.77,0.05,0.49,0.35
SG1147,1147,"June 28, 2021, 12:00:00 AM",01:20,JC/QS,A High,Randall Martinez,0.86,0.37,0.47,0.54
SG1148,1148,"October 06, 2021, 12:00:00 AM",15:25,3S/6H,8 High,Luis Brown,0.09,0.24,0.1,0.81
SG1149,1149,"July 29, 2021, 12:00:00 AM",23:25,6C/9D,Pair of As,Ricardo Griffin,0.82,0.41,0.1,0.87
SG1150,1150,"March 26, 2022, 12:00:00 AM",20:10,KD/9D,A High,Brandon Bowman,0.81,0.39,0.81,0.36
SG1151,1151,"October 23, 2021, 12:00:00 AM",08:15,5C/2C,A High,Stephen Romero,0.68,0.95,0.18,0.37
SG1152,1152,"December 13, 2021, 12:00:00 AM",05:45,3S/10S,10 High,Colin Barron,0.8,0.32,0.66,0.1
SG1153,1153,"November 11, 2021, 12:00:00 AM",13:35,KC/8C,A High,John Parks MD,0.97,0.44,0.61,0.15
SG1154,1154,"July 07, 2021, 12:00:00 AM",05:15,10S/JS,8 High,Lisa Tyler,0.7,0.94,0.65,0.3
SG1155,1155,"June 22, 2021, 12:00:00 AM",22:15,JD/10H,A High,Madeline Booth,0.73,0.53,0.54,0.8
SG1156,1156,"July 03, 2021, 12:00:00 AM",15:10,7C/KD,Pair of As,Kimberly Brown,0.47,0.56,0.76,0.39
SG1157,1157,"December 12, 2021, 12:00:00 AM",00:50,KC/QD,A High,Katrina Price,0.29,0.13,0.0,0.4
SG1158,1158,"June 25, 2021, 12:00:00 AM",07:20,2H/9C,Pair of 2s,David Soto,0.28,0.12,0.77,0.01
SG1159,1159,"March 04, 2022, 12:00:00 AM",21:00,7C/AD,A High,Kerry Lee Jr.,0.14,0.78,0.64,0.46
SG1160,1160,"January 28, 2022, 12:00:00 AM",22:05,KS/10D,8 High,Michael Ward,0.2,0.44,0.81,0.13
SG1161,1161,"July 19, 2021, 12:00:00 AM",13:05,9C/2D,A High,Carla Rogers,0.23,0.24,0.06,0.48
SG1162,1162,"August 17, 2021, 12:00:00 AM",11:45,7S/10C,8 High,Jesus Wilson,0.61,0.1,0.69,0.3
SG1163,1163,"December 15, 2021, 12:00:00 AM",22:25,4H/10D,Pair of As,John Hampton,0.94,0.04,0.57,0.16
SG1164,1164,"March 04, 2022, 12:00:00 AM",12:45,6S/8S,A High,Benjamin Smith,0.12,0.75,0.82,0.5
SG1165,1165,"November 10, 2021, 12:00:00 AM",19:30,4D/7D,Pair of As,Anne Fox,0.48,0.29,0.79,0.36
SG1166,1166,"February 02, 2022, 12:00:00 AM",12:25,AH/KS,A High,James Sanchez,0.49,0.76,0.83,0.9
SG1167,1167,"March 02, 2022, 12:00:00 AM",15:20,2S/AH,Pair of 2s,Michael Kemp,0.2,0.91,0.89,0.19
SG1168,1168,"April 01, 2022, 12:00:00 AM",10:35,5S/KS,10 High,James Miller,0.78,0.58,0.76,0.7
SG1169,1169,"August 30, 2021, 12:00:00 AM",05:20,4H/9H,A High,James Ball,0.81,0.73,0.97,0.29
SG1170,1170,"December 27, 2021, 12:00:00 AM",04:15,7C/10D,Pair of 2s,Eric Rodriguez,0.72,0.75,0.65,0.03
SG1171,1171,"December 09, 2021, 12:00:00 AM",14:40,KC/AH,A High,Evelyn Boyle,0.59,0.98,0.54,0.49
SG1172,1172,"September 14, 2021, 12:00:00 AM",15:10,KH/10D,10 High,Linda Rivas,0.45,0.96,0.55,0.6
SG1173,1173,"July 28, 2021, 12:00:00 AM",22:25,7C/10S,Pair of As,Jared Sawyer,0.78,0.38,0.33,0.19
SG1174,1174,"August 17, 2021, 12:00:00 AM",02:00,5D/5S,Pair of As,Jamie Humphrey,0.48,0.45,0.83,0.83
SG1175,1175,"February 21, 2022, 12:00:00 AM",23:00,6S/6S,10 High,Pamela Goodman,0.14,0.26,0.16,0.26
SG1176,1176,"January 17, 2022, 12:00:00 AM",17:00,QS/3H,Pair of 2s,Emily Guerrero,0.15,0.91,0.3,0.35
SG1177,1177,"March 12, 2022, 12:00:00 AM",20:05,KD/3C,10 High,Theresa Lee,0.83,0.91,0.74,0.02
SG1178,1178,"April 26, 2022, 12:00:00 AM",04:00,2C/3H,Pair of As,Tonya Palmer,0.16,0.31,0.94,0.18
SG1179,1179,"August 16, 2021, 12:00:00 AM",13:10,8C/6S,A High,Kurt Rice,0.92,0.39,0.53,0.21
SG1180,1180,"January 27, 2022, 12:00:00 AM",11:30,6H/9D,Pair of As,Julia White,0.41,0.85,0.73,0.39
SG1181,1181,"October 08, 2021, 12:00:00 AM",05:45,6S/7H,8 High,Paula Kemp MD,0.92,0.66,0.0,0.55
SG1182,1182,"January 02, 2022, 12:00:00 AM",14:35,4H/6D,Pair of 2s,Ricky Horton,0.95,0.89,0.2,0.72
SG1183,1183,"May 20, 2022, 12:00:00 AM",15:20,5C/KH,8 High,Christopher Cox,0.17,0.06,0.88,0.93
SG1184,1184,"January 25, 2022, 12:00:00 AM",07:15,9H/AH,10 High,Tyler Jordan,0.65,0.93,0.42,0.61
SG1185,1185,"April 09, 2022, 12:00:00 AM",12:35,5C/QD,10 High,Veronica Shaw,0.52,0.69,0.15,0.54
SG1186,1186,"March 04, 2022, 12:00:00 AM",10:05,8H/AS,Pair of As,Kelly Deleon,0.61,0.98,0.27,0.26
SG1187,1187,"September 24, 2021, 12:00:00 AM",01:25,AC/7C,Pair of 2s,Dr. Alyssa Johnson,0.89,0.01,0.92,0.11
SG1188,1188,"May 05, 2022, 12:00:00 AM",10:20,QS/10S,8 High,Brad Johnston,0.26,0.74,0.66,0.33
SG1189,1189,"April 16, 2022, 12:00:00 AM",14:20,AC/7C,Pair of As,Kevin Fowler,0.81,0.37,0.71,0.68
SG1190,1190,"November 20, 2021, 12:00:00 AM",03:30,2D/6S,10 High,Sherry Evans,0.23,0.6,0.15,0.68
SG1191,1191,"August 03, 2021, 12:00:00 AM",06:55,6C/4H,Pair of 2s,Rick Johnson,0.5,0.3,0.84,0.12
SG1192,1192,"November 03, 2021, 12:00:00 AM",19:25,9D/QH,8 High,Cynthia Aguilar,0.92,0.98,0.29,0.34
SG1193,1193,"August 11, 2021, 12:00:00 AM",16:20,7C/JC,10 High,Laura Saunders,0.49,0.99,0.62,0.13
SG1194,1194,"October 30, 2021, 12:00:00 AM",21:20,8H/8C,Pair of 2s,Joy Solomon,0.28,0.27,0.7,0.72
SG1195,1195,"April 20, 2022, 12:00:00 AM",19:40,KS/9C,8 High,Joseph Hahn,0.46,0.18,0.25,0.33
SG1196,1196,"April 29, 2022, 12:00:00 AM",01:15,6S/QH,Pair of 2s,Mike Allen,0.83,0.27,0.93,0.52
SG1197,1197,"February 06, 2022, 12:00:00 AM",13:00,9C/2D,8 High,Tammie Martin,0.88,0.12,0.43,0.66
SG1198,1198,"July 17, 2021, 12:00:00 AM",18:40,2S/JS,Pair of 2s,Tammy Hardy,0.87,0.56,0.02,0.98
SG1199,1199,"May 12, 2022, 12:00:00 AM",02:50,8D/AC,Pair of 2s,Evan May,0.69,0.2,0.28,0.07
SG1200,1200,"October 12, 2021, 12:00:00 AM",17:30,KH/QH,10 High,Daniel Flores,0.92,0.11,0.32,0.93
SG1201,1201,"June 04, 2021, 12:00:00 AM",01:15,8H/JH,Pair of As,Carrie Huynh,0.16,0.65,0.85,0.73
SG1202,1202,"July 23, 2021, 12:00:00 AM",09:55,5C/QS,8 High,Mike Perez,0.15,0.46,0.32,0.75
SG1203,1203,"January 13, 2022, 12:00:00 AM",13:30,AC/JS,8 High,Isaac Richards,0.75,0.22,0.45,0.65
SG1204,1204,"August 10, 2021, 12:00:00 AM",08:40,9H/10H,10 High,Jeanne Sharp,0.85,0.82,0.47,0.47
SG1205,1205,"September 19, 2021, 12:00:00 AM",09:50,4S/9C,8 High,Mckenzie Ward,0.25,0.22,0.93,0.06
SG1206,1206,"September 12, 2021, 12:00:00 AM",16:00,3C/6S,10 High,Michael Garcia,0.38,0.65,0.11,0.34
SG1207,1207,"July 25, 2021, 12:00:00 AM",03:30,KS/8H,8 High,Brianna Mckenzie,0.25,0.66,0.03,0.87
